name property WF d_band_center eg_band_center U_band_center p_band_center PE IE EA d_band_filling eg_band_filling T2g_band_filling d_dos_EF p_band_filling bader_charge aver_bader site_Od iso_corr
Mo100cuscusMOH 0.5603 6.6980 -2.2962 -2.1850 1.0815 -4.0306 2.1600 7.0920 0.7470 3.6042 1.5525 2.0517 0.2889 4.6592 11.5092 12.8304 3.7598 4.0206
Mo100cuscusRuOH 0.6219 6.8818 -1.1205 -1.2334 1.9304 -2.8531 2.2000 7.3610 1.0460 6.1318 2.5297 3.6027 3.1835 4.6820 14.3376 12.8906 3.8285 4.7297
Mo110bricusRuOH 0.5828 6.7486 -1.1713 -0.5456 1.9182 -3.5888 2.2000 7.3610 1.0460 6.2474 1.4077 4.8386 1.7270 4.7567 14.3450 13.5481 3.7228 3.4712
Mo110cuscusRuOH 0.6555 6.8546 -1.1309 -4.8579 1.8737 -4.2580 2.2000 7.3610 1.0460 6.1675 1.4383 4.7289 1.8810 4.7438 14.3445 13.5584 3.9202 4.0387
Mo111bricusRuOH 0.5190 5.6410 -1.1506 -0.3558 2.2940 -3.1940 2.2000 7.3610 1.0460 5.9726 1.4796 4.4944 2.2018 4.6228 14.2304 14.2304 4.1164 1.9237
Mo111cuscusMOH 0.2964 5.3530 0.3335 -5.2927 3.3666 -3.6836 2.1600 7.0920 0.7470 3.7209 1.1538 2.5667 0.3921 4.6446 11.5461 11.5461 4.1697 1.9116
Ni100cuscusMOH 0.5385 7.0659 -1.7209 -1.7225 0.5090 -3.2460 1.9100 7.6400 1.1570 8.2336 3.3612 4.8711 0.5807 4.6647 8.7550 11.3570 3.7927 5.0358
Ni100cuscusRuOH 0.6984 7.3030 -2.6162 -2.6503 0.8208 -3.4321 2.2000 7.3610 1.0460 5.7025 2.4883 3.2144 1.5902 4.6420 14.0938 11.3840 3.6660 3.7623
Ni101cuscusRuOH 0.6538 6.6822 -2.4071 -2.5264 1.1215 -3.3480 2.2000 7.3610 1.0460 5.7993 2.1802 3.6192 0.7473 4.6668 14.1046 11.3800 3.4756 3.9286
Ni110bricusRuOH 0.6629 7.0896 -1.2457 -4.6816 1.9058 -3.8879 2.2000 7.3610 1.0460 6.1227 1.4663 4.6550 1.3017 4.7454 14.2445 12.7593 3.8169 3.5409
Ni111cuscusMOH 0.5472 5.2755 -1.8605 -1.7114 0.6902 -3.3021 1.9100 7.6400 1.1570 8.2437 2.6493 5.5944 0.7255 4.5931 8.7140 8.7140 4.1252 1.8985
